search_term	db_term	search_field
SRR5508398	SRR5508398	sample_name
SRR5508398	SRR5508398	srr
SRR5508399	SRR5508399	sample_name
SRR5508399	SRR5508399	srr
SRR5508400	SRR5508400	sample_name
SRR5508400	SRR5508400	srr
SRR5508401	SRR5508401	sample_name
SRR5508401	SRR5508401	srr
SRR5508402	SRR5508402	sample_name
SRR5508402	SRR5508402	srr
SRR5628716	SRR5628716	sample_name
SRR5628716	SRR5628716	srr
SRR5633592	SRR5633592	sample_name
SRR5633592	SRR5633592	srr
SRR5633593	SRR5633593	sample_name
SRR5633593	SRR5633593	srr
SRR5633594	SRR5633594	sample_name
SRR5633594	SRR5633594	srr
SRR5633595	SRR5633595	sample_name
SRR5633595	SRR5633595	srr
SRR5633596	SRR5633596	sample_name
SRR5633596	SRR5633596	srr
SRR5633597	SRR5633597	sample_name
SRR5633597	SRR5633597	srr
SRR5633598	SRR5633598	sample_name
SRR5633598	SRR5633598	srr
SRR5633599	SRR5633599	sample_name
SRR5633599	SRR5633599	srr
SRR5655667	SRR5655667	sample_name
SRR5655667	SRR5655667	srr
SRR5655668	SRR5655668	sample_name
SRR5655668	SRR5655668	srr
SRR5655669	SRR5655669	sample_name
SRR5655669	SRR5655669	srr
SRR5655670	SRR5655670	sample_name
SRR5655670	SRR5655670	srr
SRR5655671	SRR5655671	sample_name
SRR5655671	SRR5655671	srr
SRR5655672	SRR5655672	sample_name
SRR5655672	SRR5655672	srr
SRR5655673	SRR5655673	sample_name
SRR5655673	SRR5655673	srr
SRR5679914	SRR5679914	srr
SRR5679915	SRR5679915	srr
SRR5679916	SRR5679916	srr
SRR5681049	SRR5681049	sample_name
SRR5681049	SRR5681049	srr
SRR5681050	SRR5681050	sample_name
SRR5681050	SRR5681050	srr
SRR5681051	SRR5681051	sample_name
SRR5681051	SRR5681051	srr
SRR5681052	SRR5681052	sample_name
SRR5681052	SRR5681052	srr
SRR5681053	SRR5681053	sample_name
SRR5681053	SRR5681053	srr
SRR5681054	SRR5681054	sample_name
SRR5681054	SRR5681054	srr
SRR5681055	SRR5681055	sample_name
SRR5681055	SRR5681055	srr
SRR5681056	SRR5681056	sample_name
SRR5681056	SRR5681056	srr
SRR5681057	SRR5681057	sample_name
SRR5681057	SRR5681057	srr
SRR5681058	SRR5681058	sample_name
SRR5681058	SRR5681058	srr
SRR5681059	SRR5681059	sample_name
SRR5681059	SRR5681059	srr
SRR5681060	SRR5681060	sample_name
SRR5681060	SRR5681060	srr
SRR5681061	SRR5681061	sample_name
SRR5681061	SRR5681061	srr
SRR5681062	SRR5681062	sample_name
SRR5681062	SRR5681062	srr
SRR5681063	SRR5681063	sample_name
SRR5681063	SRR5681063	srr
SRR5681065	SRR5681065	sample_name
SRR5681065	SRR5681065	srr
SRR5681066	SRR5681066	sample_name
SRR5681066	SRR5681066	srr
SRR5681067	SRR5681067	sample_name
SRR5681067	SRR5681067	srr
SRR5681068	SRR5681068	sample_name
SRR5681068	SRR5681068	srr
SRR5681069	SRR5681069	sample_name
SRR5681069	SRR5681069	srr
SRR5681070	SRR5681070	sample_name
SRR5681070	SRR5681070	srr
SRR5681071	SRR5681071	sample_name
SRR5681071	SRR5681071	srr
SRR5681072	SRR5681072	sample_name
SRR5681072	SRR5681072	srr
SRR5714119	SRR5714119	sample_name
SRR5714119	SRR5714119	srr
SRR5714120	SRR5714120	sample_name
SRR5714120	SRR5714120	srr
SRR574824	SRR574824	sample_name
SRR574824	SRR574824	srr
SRR574825	SRR574825	sample_name
SRR574825	SRR574825	srr
SRR574826	SRR574826	sample_name
SRR574826	SRR574826	srr
SRR574827	SRR574827	sample_name
SRR574827	SRR574827	srr
SRR574828	SRR574828	sample_name
SRR574828	SRR574828	srr
SRR574829	SRR574829	sample_name
SRR574829	SRR574829	srr
SRR574830	SRR574830	sample_name
SRR574830	SRR574830	srr
SRR574831	SRR574831	sample_name
SRR574831	SRR574831	srr
SRR579293	SRR579293	sample_name
SRR579293	SRR579293	srr
SRR579294	SRR579294	sample_name
SRR579294	SRR579294	srr
SRR579295	SRR579295	sample_name
SRR579295	SRR579295	srr
SRR579296	SRR579296	sample_name
SRR579296	SRR579296	srr
SRR579297	SRR579297	sample_name
SRR579297	SRR579297	srr
SRR579298	SRR579298	sample_name
SRR579298	SRR579298	srr
SRR579299	SRR579299	srr
SRR579300	SRR579300	srr
SRR579301	SRR579301	srr
SRR579302	SRR579302	srr
SRR579303	SRR579303	srr
SRR579304	SRR579304	srr
SRR579305	SRR579305	srr
SRR579306	SRR579306	srr
SRR579307	SRR579307	srr
SRR579308	SRR579308	srr
SRR579309	SRR579309	srr
SRR579310	SRR579310	srr
SRR579311	SRR579311	srr
SRR579312	SRR579312	srr
SRR579313	SRR579313	srr
SRR579314	SRR579314	srr
SRR579315	SRR579315	srr
SRR579316	SRR579316	srr
SRR579317	SRR579317	srr
SRR579318	SRR579318	srr
SRR579319	SRR579319	srr
SRR579320	SRR579320	srr
SRR579321	SRR579321	srr
SRR579322	SRR579322	srr
SRR579323	SRR579323	srr
SRR579324	SRR579324	srr
SRR579325	SRR579325	srr
SRR579326	SRR579326	srr
SRR579327	SRR579327	srr
SRR579328	SRR579328	srr
SRR579329	SRR579329	srr
SRR579330	SRR579330	srr
SRR579331	SRR579331	srr
SRR579332	SRR579332	srr
SRR579333	SRR579333	srr
SRR579334	SRR579334	srr
SRR579335	SRR579335	srr
SRR579336	SRR579336	srr
SRR579337	SRR579337	srr
SRR579338	SRR579338	srr
SRR579339	SRR579339	srr
SRR579340	SRR579340	srr
SRR579341	SRR579341	srr
SRR579342	SRR579342	srr
SRR579343	SRR579343	srr
SRR579344	SRR579344	srr
SRR579345	SRR579345	srr
SRR579346	SRR579346	srr
SRR579347	SRR579347	srr
SRR579348	SRR579348	srr
SRR579349	SRR579349	srr
SRR579350	SRR579350	srr
SRR579351	SRR579351	srr
SRR579352	SRR579352	srr
SRR579353	SRR579353	srr
SRR579354	SRR579354	srr
SRR579355	SRR579355	srr
SRR579356	SRR579356	srr
SRR579357	SRR579357	srr
SRR579358	SRR579358	srr
SRR579359	SRR579359	srr
SRR579360	SRR579360	srr
SRR579361	SRR579361	srr
SRR579362	SRR579362	srr
SRR579363	SRR579363	srr
SRR579364	SRR579364	srr
SRR579365	SRR579365	srr
SRR579366	SRR579366	srr
SRR579367	SRR579367	srr
SRR579368	SRR579368	srr
SRR579369	SRR579369	srr
SRR579370	SRR579370	srr
SRR579371	SRR579371	srr
SRR579372	SRR579372	srr
SRR579373	SRR579373	srr
SRR579374	SRR579374	srr
SRR579375	SRR579375	srr
SRR579376	SRR579376	srr
SRR579377	SRR579377	srr
SRR579378	SRR579378	srr
SRR5799635	SRR5799635	sample_name
SRR5799635	SRR5799635	srr
SRR5799636	SRR5799636	sample_name
SRR5799636	SRR5799636	srr
SRR5816144	SRR5816144	sample_name
SRR5816144	SRR5816144	srr
SRR5816145	SRR5816145	sample_name
SRR5816145	SRR5816145	srr
SRR5835186	SRR5835186	sample_name
SRR5835186	SRR5835186	srr
SRR5835187	SRR5835187	sample_name
SRR5835187	SRR5835187	srr
SRR5835188	SRR5835188	sample_name
SRR5835188	SRR5835188	srr
SRR5835189	SRR5835189	sample_name
SRR5835189	SRR5835189	srr
SRR5861742	SRR5861742	srr
SRR5861743	SRR5861743	srr
SRR5861744	SRR5861744	srr
SRR5861745	SRR5861745	srr
SRR5861746	SRR5861746	srr
SRR5861747	SRR5861747	srr
SRR5861748	SRR5861748	srr
SRR5861749	SRR5861749	srr
SRR5861750	SRR5861750	srr
SRR5861751	SRR5861751	srr
SRR5861752	SRR5861752	srr
SRR5861753	SRR5861753	srr
SRR5861754	SRR5861754	srr
SRR5861755	SRR5861755	srr
SRR5861756	SRR5861756	srr
SRR5861757	SRR5861757	srr
SRR5861758	SRR5861758	srr
SRR5861759	SRR5861759	srr
SRR5861760	SRR5861760	srr
SRR5861761	SRR5861761	srr
SRR5861762	SRR5861762	srr
SRR5861763	SRR5861763	srr
SRR5861764	SRR5861764	srr
SRR5861765	SRR5861765	srr
SRR5861766	SRR5861766	srr
SRR5861767	SRR5861767	srr
SRR5861768	SRR5861768	srr
SRR5861769	SRR5861769	srr
SRR5861770	SRR5861770	srr
SRR5861771	SRR5861771	srr
SRR5861772	SRR5861772	srr
SRR5861773	SRR5861773	srr
SRR5861774	SRR5861774	srr
SRR5861775	SRR5861775	srr
SRR5861776	SRR5861776	srr
SRR5861777	SRR5861777	srr
SRR5861778	SRR5861778	srr
SRR5861779	SRR5861779	srr
SRR5861780	SRR5861780	srr
SRR5861781	SRR5861781	srr
SRR5861782	SRR5861782	srr
SRR5861783	SRR5861783	srr
SRR5861784	SRR5861784	srr
SRR5861785	SRR5861785	srr
SRR5861786	SRR5861786	srr
SRR5861787	SRR5861787	srr
SRR5861788	SRR5861788	srr
SRR5861789	SRR5861789	srr
SRR5861790	SRR5861790	srr
SRR5861791	SRR5861791	srr
SRR5861792	SRR5861792	srr
SRR5861793	SRR5861793	srr
SRR5861794	SRR5861794	srr
SRR5861795	SRR5861795	srr
SRR5861796	SRR5861796	srr
SRR5861797	SRR5861797	srr
SRR5861798	SRR5861798	srr
SRR5861799	SRR5861799	srr
SRR5861800	SRR5861800	srr
SRR5861801	SRR5861801	srr
SRR5905136	SRR5905136	sample_name
SRR5905136	SRR5905136	srr
SRR5905137	SRR5905137	sample_name
SRR5905137	SRR5905137	srr
SRR5905138	SRR5905138	sample_name
SRR5905138	SRR5905138	srr
SRR5905139	SRR5905139	sample_name
SRR5905139	SRR5905139	srr
SRR5905140	SRR5905140	sample_name
SRR5905140	SRR5905140	srr
SRR5905141	SRR5905141	sample_name
SRR5905141	SRR5905141	srr
SRR5905142	SRR5905142	sample_name
SRR5905142	SRR5905142	srr
SRR5905143	SRR5905143	sample_name
SRR5905143	SRR5905143	srr
SRR5905144	SRR5905144	sample_name
SRR5905144	SRR5905144	srr
SRR5905145	SRR5905145	sample_name
SRR5905145	SRR5905145	srr
SRR5905146	SRR5905146	sample_name
SRR5905146	SRR5905146	srr
SRR5905147	SRR5905147	sample_name
SRR5905147	SRR5905147	srr
SRR5905148	SRR5905148	sample_name
SRR5905148	SRR5905148	srr
SRR5905149	SRR5905149	sample_name
SRR5905149	SRR5905149	srr
SRR5905150	SRR5905150	sample_name
SRR5905150	SRR5905150	srr
SRR5905151	SRR5905151	sample_name
SRR5905151	SRR5905151	srr
SRR5905152	SRR5905152	sample_name
SRR5905152	SRR5905152	srr
SRR5905153	SRR5905153	sample_name
SRR5905153	SRR5905153	srr
SRR5905154	SRR5905154	sample_name
SRR5905154	SRR5905154	srr
SRR5905155	SRR5905155	sample_name
SRR5905155	SRR5905155	srr
SRR5905156	SRR5905156	sample_name
SRR5905156	SRR5905156	srr
SRR5905157	SRR5905157	sample_name
SRR5905157	SRR5905157	srr
SRR5905158	SRR5905158	sample_name
SRR5905158	SRR5905158	srr
SRR5905159	SRR5905159	sample_name
SRR5905159	SRR5905159	srr
SRR5905160	SRR5905160	sample_name
SRR5905160	SRR5905160	srr
SRR5905161	SRR5905161	sample_name
SRR5905161	SRR5905161	srr
SRR5905162	SRR5905162	sample_name
SRR5905162	SRR5905162	srr
SRR5905163	SRR5905163	sample_name
SRR5905163	SRR5905163	srr
SRR5905164	SRR5905164	sample_name
SRR5905164	SRR5905164	srr
SRR5905165	SRR5905165	sample_name
SRR5905165	SRR5905165	srr
SRR5905166	SRR5905166	sample_name
SRR5905166	SRR5905166	srr
SRR5905167	SRR5905167	sample_name
SRR5905167	SRR5905167	srr
SRR5905168	SRR5905168	sample_name
SRR5905168	SRR5905168	srr
SRR5905169	SRR5905169	sample_name
SRR5905169	SRR5905169	srr
SRR5905170	SRR5905170	sample_name
SRR5905170	SRR5905170	srr
SRR5905171	SRR5905171	sample_name
SRR5905171	SRR5905171	srr
SRR5905172	SRR5905172	sample_name
SRR5905172	SRR5905172	srr
SRR5905173	SRR5905173	sample_name
SRR5905173	SRR5905173	srr
SRR5905174	SRR5905174	sample_name
SRR5905174	SRR5905174	srr
SRR5905175	SRR5905175	sample_name
SRR5905175	SRR5905175	srr
SRR592725	SRR592725	sample_name
SRR592725	SRR592725	srr
SRR592726	SRR592726	sample_name
SRR592726	SRR592726	srr
SRR592727	SRR592727	sample_name
SRR592727	SRR592727	srr
SRR592728	SRR592728	sample_name
SRR592728	SRR592728	srr
SRR5929958	SRR5929958	sample_name
SRR5929958	SRR5929958	srr
SRR5929959	SRR5929959	sample_name
SRR5929959	SRR5929959	srr
SRR5929960	SRR5929960	sample_name
SRR5929960	SRR5929960	srr
SRR5929961	SRR5929961	sample_name
SRR5929961	SRR5929961	srr
SRR5929962	SRR5929962	sample_name
SRR5929962	SRR5929962	srr
SRR5929963	SRR5929963	sample_name
SRR5929963	SRR5929963	srr
SRR5929964	SRR5929964	sample_name
SRR5929964	SRR5929964	srr
SRR5929965	SRR5929965	sample_name
SRR5929965	SRR5929965	srr
SRR5929966	SRR5929966	sample_name
SRR5929966	SRR5929966	srr
SRR5929967	SRR5929967	sample_name
SRR5929967	SRR5929967	srr
SRR5929968	SRR5929968	sample_name
SRR5929968	SRR5929968	srr
SRR5929969	SRR5929969	sample_name
SRR5929969	SRR5929969	srr
SRR5929970	SRR5929970	sample_name
SRR5929970	SRR5929970	srr
SRR5929971	SRR5929971	sample_name
SRR5929971	SRR5929971	srr
SRR5929972	SRR5929972	sample_name
SRR5929972	SRR5929972	srr
SRR5929973	SRR5929973	sample_name
SRR5929973	SRR5929973	srr
SRR5929974	SRR5929974	sample_name
SRR5929974	SRR5929974	srr
SRR5929975	SRR5929975	sample_name
SRR5929975	SRR5929975	srr
SRR5929976	SRR5929976	sample_name
SRR5929976	SRR5929976	srr
SRR5929977	SRR5929977	sample_name
SRR5929977	SRR5929977	srr
SRR5944047	SRR5944047	sample_name
SRR5944047	SRR5944047	srr
SRR5944048	SRR5944048	sample_name
SRR5944048	SRR5944048	srr
SRR5944049	SRR5944049	srr
SRR5944050	SRR5944050	srr
SRR5944051	SRR5944051	srr
SRR5944052	SRR5944052	srr
SRR5944950	SRR5944950	srr
SRR5944951	SRR5944951	srr
SRR5944952	SRR5944952	srr
SRR5944953	SRR5944953	srr
SRR6008469	SRR6008469	sample_name
SRR6008469	SRR6008469	srr
SRR6008470	SRR6008470	sample_name
SRR6008470	SRR6008470	srr
SRR6026781	SRR6026781	sample_name
SRR6026781	SRR6026781	srr
SRR6026782	SRR6026782	sample_name
SRR6026782	SRR6026782	srr
SRR6026783	SRR6026783	sample_name
SRR6026783	SRR6026783	srr
SRR6026784	SRR6026784	sample_name
SRR6026784	SRR6026784	srr
SRR6069044	SRR6069044	sample_name
SRR6069044	SRR6069044	srr
SRR6069045	SRR6069045	sample_name
SRR6069045	SRR6069045	srr
SRR609665	SRR609665	sample_name
SRR609665	SRR609665	srr
SRR609666	SRR609666	sample_name
SRR609666	SRR609666	srr
SRR611824	SRR611824	srr
SRR611825	SRR611825	srr
SRR611826	SRR611826	srr
SRR611827	SRR611827	srr
SRR611828	SRR611828	sample_name
SRR611828	SRR611828	srr
SRR611829	SRR611829	srr
SRR611830	SRR611830	srr
SRR611831	SRR611831	sample_name
SRR611831	SRR611831	srr
SRR611832	SRR611832	sample_name
SRR611832	SRR611832	srr
SRR611833	SRR611833	sample_name
SRR611833	SRR611833	srr
SRR6128874	SRR6128874	sample_name
SRR6128874	SRR6128874	srr
SRR6128875	SRR6128875	sample_name
SRR6128875	SRR6128875	srr
SRR6145792	SRR6145792	sample_name
SRR6145792	SRR6145792	srr
SRR6145793	SRR6145793	sample_name
SRR6145793	SRR6145793	srr
SRR618498	SRR618498	sample_name
SRR618498	SRR618498	srr
SRR618499	SRR618499	sample_name
SRR618499	SRR618499	srr
SRR618500	SRR618500	sample_name
SRR618500	SRR618500	srr
SRR618501	SRR618501	sample_name
SRR618501	SRR618501	srr
SRR618502	SRR618502	sample_name
SRR618502	SRR618502	srr
SRR618503	SRR618503	sample_name
SRR618503	SRR618503	srr
SRR620530	SRR620530	sample_name
SRR620530	SRR620530	srr
SRR620531	SRR620531	sample_name
SRR620531	SRR620531	srr
SRR6205688	SRR6205688	sample_name
SRR6205688	SRR6205688	srr
SRR6205689	SRR6205689	sample_name
SRR6205689	SRR6205689	srr
SRR6216702	SRR6216702	sample_name
SRR6216702	SRR6216702	srr
SRR6216703	SRR6216703	sample_name
SRR6216703	SRR6216703	srr
SRR6216704	SRR6216704	sample_name
SRR6216704	SRR6216704	srr
SRR6216705	SRR6216705	sample_name
SRR6216705	SRR6216705	srr
SRR6216706	SRR6216706	sample_name
SRR6216706	SRR6216706	srr
SRR6216707	SRR6216707	sample_name
SRR6216707	SRR6216707	srr
SRR6216708	SRR6216708	sample_name
SRR6216708	SRR6216708	srr
SRR6216709	SRR6216709	sample_name
SRR6216709	SRR6216709	srr
SRR6216710	SRR6216710	sample_name
SRR6216710	SRR6216710	srr
SRR6216711	SRR6216711	sample_name
SRR6216711	SRR6216711	srr
SRR6216712	SRR6216712	sample_name
SRR6216712	SRR6216712	srr
SRR6216713	SRR6216713	sample_name
SRR6216713	SRR6216713	srr
SRR6246979	SRR6246979	sample_name
SRR6246979	SRR6246979	srr
SRR6247018	SRR6247018	sample_name
SRR6247018	SRR6247018	srr
SRR6290499	SRR6290499	srr
SRR6290500	SRR6290500	srr
SRR6290501	SRR6290501	srr
SRR6290502	SRR6290502	srr
SRR6290503	SRR6290503	srr
SRR6290504	SRR6290504	srr
SRR6290505	SRR6290505	srr
SRR6290506	SRR6290506	srr
SRR6290507	SRR6290507	srr
SRR6290508	SRR6290508	srr
SRR6290509	SRR6290509	srr
SRR6290510	SRR6290510	srr
SRR6290511	SRR6290511	srr
SRR6290512	SRR6290512	srr
SRR6290513	SRR6290513	srr
SRR6290514	SRR6290514	srr
SRR6290515	SRR6290515	srr
SRR6290516	SRR6290516	srr
SRR6290517	SRR6290517	srr
SRR6290518	SRR6290518	srr
SRR6290519	SRR6290519	srr
SRR6290520	SRR6290520	srr
SRR6290521	SRR6290521	srr
SRR6290522	SRR6290522	srr
SRR6290523	SRR6290523	srr
SRR6290524	SRR6290524	srr
SRR6290525	SRR6290525	srr
SRR6290526	SRR6290526	srr
SRR6290527	SRR6290527	srr
SRR6290528	SRR6290528	srr
SRR6290529	SRR6290529	srr
SRR6290530	SRR6290530	srr
SRR6290531	SRR6290531	srr
SRR6290532	SRR6290532	srr
SRR6290533	SRR6290533	srr
SRR6290534	SRR6290534	srr
SRR6290535	SRR6290535	srr
SRR6290536	SRR6290536	srr
SRR6290537	SRR6290537	srr
SRR6290538	SRR6290538	srr
SRR6290539	SRR6290539	srr
SRR6290540	SRR6290540	srr
SRR6290541	SRR6290541	srr
SRR6290542	SRR6290542	srr
SRR6290543	SRR6290543	srr
SRR6290544	SRR6290544	srr
SRR6290545	SRR6290545	srr
SRR6290546	SRR6290546	srr
SRR6290547	SRR6290547	srr
SRR6290548	SRR6290548	srr
SRR6290549	SRR6290549	srr
SRR6290550	SRR6290550	srr
SRR6290551	SRR6290551	srr
SRR6290552	SRR6290552	srr
SRR6290553	SRR6290553	srr
SRR6290554	SRR6290554	srr
SRR6290555	SRR6290555	srr
SRR6290556	SRR6290556	srr
SRR6290557	SRR6290557	srr
SRR6290558	SRR6290558	srr
SRR6290559	SRR6290559	srr
SRR6290560	SRR6290560	srr
SRR6290561	SRR6290561	srr
SRR6290562	SRR6290562	srr
SRR6347627	SRR6347627	sample_name
SRR6347627	SRR6347627	srr
SRR6347628	SRR6347628	sample_name
SRR6347628	SRR6347628	srr
SRR6347629	SRR6347629	sample_name
SRR6347629	SRR6347629	srr
SRR6347630	SRR6347630	sample_name
SRR6347630	SRR6347630	srr
SRR6376814	SRR6376814	sample_name
SRR6376814	SRR6376814	srr
SRR6376816	SRR6376816	srr
SRR6376818	SRR6376818	srr
SRR6376821	SRR6376821	srr
SRR6376823	SRR6376823	srr
SRR6376824	SRR6376824	srr
SRR6376829	SRR6376829	srr
SRR639050	SRR639050	sample_name
SRR639050	SRR639050	srr
SRR639051	SRR639051	sample_name
SRR639051	SRR639051	srr
SRR639125	SRR639125	sample_name
SRR639125	SRR639125	srr
SRR639126	SRR639126	sample_name
SRR639126	SRR639126	srr
SRR639127	SRR639127	sample_name
SRR639127	SRR639127	srr
SRR639128	SRR639128	sample_name
SRR639128	SRR639128	srr
SRR639129	SRR639129	sample_name
SRR639129	SRR639129	srr
SRR639130	SRR639130	sample_name
SRR639130	SRR639130	srr
SRR639131	SRR639131	sample_name
SRR639131	SRR639131	srr
SRR639132	SRR639132	sample_name
SRR639132	SRR639132	srr
SRR639133	SRR639133	sample_name
SRR639133	SRR639133	srr
SRR639134	SRR639134	sample_name
SRR639134	SRR639134	srr
SRR639142	SRR639142	sample_name
SRR639142	SRR639142	srr
SRR639143	SRR639143	sample_name
SRR639143	SRR639143	srr
SRR639144	SRR639144	sample_name
SRR639144	SRR639144	srr
SRR639145	SRR639145	sample_name
SRR639145	SRR639145	srr
SRR639146	SRR639146	sample_name
SRR639146	SRR639146	srr
SRR639147	SRR639147	sample_name
SRR639147	SRR639147	srr
SRR639148	SRR639148	sample_name
SRR639148	SRR639148	srr
SRR639149	SRR639149	sample_name
SRR639149	SRR639149	srr
SRR6427123	SRR6427123	srr
SRR6427124	SRR6427124	srr
SRR6427125	SRR6427125	srr
SRR6427126	SRR6427126	srr
SRR6427127	SRR6427127	srr
SRR6427128	SRR6427128	srr
SRR6427129	SRR6427129	srr
SRR6427130	SRR6427130	srr
SRR6453429	SRR6453429	sample_name
SRR6453429	SRR6453429	srr
SRR6453430	SRR6453430	sample_name
SRR6453430	SRR6453430	srr
SRR6453431	SRR6453431	sample_name
SRR6453431	SRR6453431	srr
SRR6453432	SRR6453432	sample_name
SRR6453432	SRR6453432	srr
SRR6453433	SRR6453433	sample_name
SRR6453433	SRR6453433	srr
SRR6453434	SRR6453434	sample_name
SRR6453434	SRR6453434	srr
SRR6453435	SRR6453435	sample_name
SRR6453435	SRR6453435	srr
SRR6453436	SRR6453436	sample_name
SRR6453436	SRR6453436	srr
SRR646576	SRR646576	sample_name
SRR646576	SRR646576	srr
SRR646577	SRR646577	sample_name
SRR646577	SRR646577	srr
SRR646578	SRR646578	sample_name
SRR646578	SRR646578	srr
SRR646579	SRR646579	sample_name
SRR646579	SRR646579	srr
SRR6492219	SRR6492219	sample_name
SRR6492219	SRR6492219	srr
SRR6492220	SRR6492220	sample_name
SRR6492220	SRR6492220	srr
SRR6492221	SRR6492221	sample_name
SRR6492221	SRR6492221	srr
SRR6492222	SRR6492222	sample_name
SRR6492222	SRR6492222	srr
SRR6492223	SRR6492223	sample_name
SRR6492223	SRR6492223	srr
SRR6492224	SRR6492224	sample_name
SRR6492224	SRR6492224	srr
SRR6492225	SRR6492225	sample_name
SRR6492225	SRR6492225	srr
SRR6492226	SRR6492226	sample_name
SRR6492226	SRR6492226	srr
SRR6492227	SRR6492227	sample_name
SRR6492227	SRR6492227	srr
SRR6492228	SRR6492228	sample_name
SRR6492228	SRR6492228	srr
SRR6492229	SRR6492229	sample_name
SRR6492229	SRR6492229	srr
SRR6492230	SRR6492230	sample_name
SRR6492230	SRR6492230	srr
SRR6497147	SRR6497147	srr
SRR6497148	SRR6497148	srr
SRR6497149	SRR6497149	srr
SRR6497150	SRR6497150	srr
SRR6497151	SRR6497151	srr
SRR6497152	SRR6497152	srr
SRR6497153	SRR6497153	srr
SRR6497154	SRR6497154	srr
SRR6497155	SRR6497155	srr
SRR6497156	SRR6497156	srr
SRR6497157	SRR6497157	srr
SRR6497158	SRR6497158	srr
SRR6498830	SRR6498830	sample_name
SRR6498830	SRR6498830	srr
SRR6498831	SRR6498831	sample_name
SRR6498831	SRR6498831	srr
SRR6498832	SRR6498832	sample_name
SRR6498832	SRR6498832	srr
SRR6498833	SRR6498833	sample_name
SRR6498833	SRR6498833	srr
SRR6498834	SRR6498834	sample_name
SRR6498834	SRR6498834	srr
SRR6498835	SRR6498835	sample_name
SRR6498835	SRR6498835	srr
SRR6498836	SRR6498836	sample_name
SRR6498836	SRR6498836	srr
SRR6498837	SRR6498837	sample_name
SRR6498837	SRR6498837	srr
SRR6498838	SRR6498838	sample_name
SRR6498838	SRR6498838	srr
SRR6508247	SRR6508247	sample_name
SRR6508247	SRR6508247	srr
SRR6508248	SRR6508248	sample_name
SRR6508248	SRR6508248	srr
SRR6508249	SRR6508249	sample_name
SRR6508249	SRR6508249	srr
SRR6508250	SRR6508250	sample_name
SRR6508250	SRR6508250	srr
SRR653421	SRR653421	srr
SRR653422	SRR653422	srr
SRR653423	SRR653423	srr
SRR653424	SRR653424	srr
SRR653425	SRR653425	srr
SRR653426	SRR653426	srr
SRR6660158	SRR6660158	sample_name
SRR6660158	SRR6660158	srr
SRR6660159	SRR6660159	sample_name
SRR6660159	SRR6660159	srr
SRR6660160	SRR6660160	sample_name
SRR6660160	SRR6660160	srr
SRR6660161	SRR6660161	sample_name
SRR6660161	SRR6660161	srr
SRR6660174	SRR6660174	sample_name
SRR6660174	SRR6660174	srr
SRR6660175	SRR6660175	sample_name
SRR6660175	SRR6660175	srr
SRR6660176	SRR6660176	sample_name
SRR6660176	SRR6660176	srr
SRR6660177	SRR6660177	sample_name
SRR6660177	SRR6660177	srr
SRR6660226	SRR6660226	sample_name
SRR6660226	SRR6660226	srr
SRR6660227	SRR6660227	sample_name
SRR6660227	SRR6660227	srr
SRR6660228	SRR6660228	sample_name
SRR6660228	SRR6660228	srr
SRR6660229	SRR6660229	sample_name
SRR6660229	SRR6660229	srr
SRR6660276	SRR6660276	sample_name
SRR6660276	SRR6660276	srr
SRR6660277	SRR6660277	sample_name
SRR6660277	SRR6660277	srr
SRR6660278	SRR6660278	sample_name
SRR6660278	SRR6660278	srr
SRR6660279	SRR6660279	sample_name
SRR6660279	SRR6660279	srr
SRR6660292	SRR6660292	sample_name
SRR6660292	SRR6660292	srr
SRR6660293	SRR6660293	sample_name
SRR6660293	SRR6660293	srr
SRR6660300	SRR6660300	sample_name
SRR6660300	SRR6660300	srr
SRR6660301	SRR6660301	sample_name
SRR6660301	SRR6660301	srr
SRR6660302	SRR6660302	sample_name
SRR6660302	SRR6660302	srr
SRR6660303	SRR6660303	sample_name
SRR6660303	SRR6660303	srr
SRR6660316	SRR6660316	sample_name
SRR6660316	SRR6660316	srr
SRR6660317	SRR6660317	sample_name
SRR6660317	SRR6660317	srr
SRR6660318	SRR6660318	sample_name
SRR6660318	SRR6660318	srr
SRR6660319	SRR6660319	sample_name
SRR6660319	SRR6660319	srr
SRR6660349	SRR6660349	sample_name
SRR6660349	SRR6660349	srr
SRR6660350	SRR6660350	sample_name
SRR6660350	SRR6660350	srr
SRR6660351	SRR6660351	sample_name
SRR6660351	SRR6660351	srr
SRR6660352	SRR6660352	sample_name
SRR6660352	SRR6660352	srr
SRR6660365	SRR6660365	sample_name
SRR6660365	SRR6660365	srr
SRR6660366	SRR6660366	sample_name
SRR6660366	SRR6660366	srr
SRR6660367	SRR6660367	sample_name
SRR6660367	SRR6660367	srr
SRR6660368	SRR6660368	sample_name
SRR6660368	SRR6660368	srr
SRR6660399	SRR6660399	sample_name
SRR6660399	SRR6660399	srr
SRR6660400	SRR6660400	sample_name
SRR6660400	SRR6660400	srr
SRR6660401	SRR6660401	sample_name
SRR6660401	SRR6660401	srr
SRR6660402	SRR6660402	sample_name
SRR6660402	SRR6660402	srr
SRR6660416	SRR6660416	sample_name
SRR6660416	SRR6660416	srr
SRR6660417	SRR6660417	sample_name
SRR6660417	SRR6660417	srr
SRR6660418	SRR6660418	sample_name
SRR6660418	SRR6660418	srr
SRR6660419	SRR6660419	sample_name
SRR6660419	SRR6660419	srr
